resource,addressbase-custodian,billing-authority,census-area,combined-authority,end-date,entry-date,esd-inventory,local-authority-type,local-resilience-forum,name,official-name,opendatacommunities-area,opendatacommunities-organisation,organisation,region,shielding-hub,start-date,statistical-geography,twitter,website,wikidata,wikipedia,slug
b963fb91d684df24a6c0f316370ef878a6fb4489765e2cda872e569b02f1e1ac,,,,,,2021-02-01,,,,Wendover,Wendover Neighbourhood Plan,,,neighbourhood-plan-area:wendover,,,,E04001547,,,,,/neighbourhood-plan-area/wendover
b963fb91d684df24a6c0f316370ef878a6fb4489765e2cda872e569b02f1e1ac,,,,,,2021-02-01,,,,Pitstone,Pitstone Neighbourhood Plan,,,neighbourhood-plan-area:pitstone,,,,E04001521,,,,,/neighbourhood-plan-area/pitstone
b963fb91d684df24a6c0f316370ef878a6fb4489765e2cda872e569b02f1e1ac,,,,,,2021-02-01,,,,Quainton,Quainton Neighbourhood Plan,,,neighbourhood-plan-area:quainton,,,,E04001524,,,,,/neighbourhood-plan-area/quainton
b963fb91d684df24a6c0f316370ef878a6fb4489765e2cda872e569b02f1e1ac,,,,,,2021-02-01,,,,Ickford,Ickford Neighbourhood Plan,,,neighbourhood-plan-area:ickford,,,,E04001497,,,,,/neighbourhood-plan-area/ickford
b963fb91d684df24a6c0f316370ef878a6fb4489765e2cda872e569b02f1e1ac,,,,,,2021-02-01,,,,Long Crendon,Long Crendon Neighbourhood Plan,,,neighbourhood-plan-area:long-crendon,,,,E04001505,,,,,/neighbourhood-plan-area/long-crendon
b963fb91d684df24a6c0f316370ef878a6fb4489765e2cda872e569b02f1e1ac,,,,,,2021-02-01,,,,Buckingham,Buckingham Neighbourhood Development Plan,,,neighbourhood-plan-area:buckingham,,,,E04001465,,,,,/neighbourhood-plan-area/buckingham
b963fb91d684df24a6c0f316370ef878a6fb4489765e2cda872e569b02f1e1ac,,,,,,2021-02-01,,,,Cheddington,Cheddington Neighbourhood Plan,,,neighbourhood-plan-area:cheddington,,,,E04001469,,,,,/neighbourhood-plan-area/cheddington
b963fb91d684df24a6c0f316370ef878a6fb4489765e2cda872e569b02f1e1ac,,,,,,2021-02-01,,,,Great Horwood,Great Horwood Neighbourhood Plan,,,neighbourhood-plan-area:great-horwood,,,,E04001488,,,,,/neighbourhood-plan-area/great-horwood
b963fb91d684df24a6c0f316370ef878a6fb4489765e2cda872e569b02f1e1ac,,,,,,2021-02-01,,,,Haddenham,Haddenham Neighbourhood Plan,,,neighbourhood-plan-area:haddenham,,,,E04001490,,,,,/neighbourhood-plan-area/haddenham
b963fb91d684df24a6c0f316370ef878a6fb4489765e2cda872e569b02f1e1ac,,,,,,2021-02-01,,,,Marsh Gibbon,Marsh Gibbon Neighbourhood Plan,,,neighbourhood-plan-area:marsh-gibbon,,,,E04001509,,,,,/neighbourhood-plan-area/marsh-gibbon
b963fb91d684df24a6c0f316370ef878a6fb4489765e2cda872e569b02f1e1ac,,,,,,2021-02-01,,,,Wing,Wing Neighbourhood Plan,,,neighbourhood-plan-area:wing,,,,E04001553,,,,,/neighbourhood-plan-area/wing
b963fb91d684df24a6c0f316370ef878a6fb4489765e2cda872e569b02f1e1ac,,,,,,2021-02-01,,,,Winslow,Winslow Neighbourhood Plan,,,neighbourhood-plan-area:winslow,,,,E04001555,,,,,/neighbourhood-plan-area/winslow
b963fb91d684df24a6c0f316370ef878a6fb4489765e2cda872e569b02f1e1ac,,,,,,2021-02-01,,,,Ivinghoe,Ivinghoe Neighbourhood Plan,,,neighbourhood-plan-area:ivinghoe,,,,E04001498,,,,,/neighbourhood-plan-area/ivinghoe
b963fb91d684df24a6c0f316370ef878a6fb4489765e2cda872e569b02f1e1ac,,,,,,2021-02-01,,,,Edlesborough,Edlesborough Neighbourhood Plan,,,neighbourhood-plan-area:edlesborough,,,,E04001482,,,,,/neighbourhood-plan-area/edlesborough
b963fb91d684df24a6c0f316370ef878a6fb4489765e2cda872e569b02f1e1ac,,,,,,2021-02-01,,,,Buckland,Buckland Neighbourhood Plan,,,neighbourhood-plan-area:buckland,,,,E04001466,,,,,/neighbourhood-plan-area/buckland
b963fb91d684df24a6c0f316370ef878a6fb4489765e2cda872e569b02f1e1ac,,,,,,2021-02-01,,,,Slapton,Slapton Neighbourhood Plan,,,neighbourhood-plan-area:slapton,,,,E04001529,,,,,/neighbourhood-plan-area/slapton
b963fb91d684df24a6c0f316370ef878a6fb4489765e2cda872e569b02f1e1ac,,,,,,2021-02-01,,,,Worminghall,Worminghall Neighbourhood Plan,,,neighbourhood-plan-area:worminghall,,,,E04001557,,,,,/neighbourhood-plan-area/worminghall
b963fb91d684df24a6c0f316370ef878a6fb4489765e2cda872e569b02f1e1ac,,,,,,2021-02-01,,,,Weston Turville,Weston Turville Neighbourhood Plan,,,neighbourhood-plan-area:weston-turville,,,,E04001550,,,,,/neighbourhood-plan-area/weston-turville
b963fb91d684df24a6c0f316370ef878a6fb4489765e2cda872e569b02f1e1ac,,,,,,2021-02-01,,,,Wingrave with Rowsham,Wingrave with Rowsham Neighbourhood Plan,,,neighbourhood-plan-area:wingrave-with-rowsham,,,,E04001554,,,,,/neighbourhood-plan-area/wingrave-with-rowsham
b963fb91d684df24a6c0f316370ef878a6fb4489765e2cda872e569b02f1e1ac,,,,,,2021-02-01,,,,Waddesdon,Waddesdon Neighbourhood Plan,,,neighbourhood-plan-area:waddesdon,,,,E04001544,,,,,/neighbourhood-plan-area/waddesdon
b963fb91d684df24a6c0f316370ef878a6fb4489765e2cda872e569b02f1e1ac,,,,,,2021-02-01,,,,Steeple Claydon,Steeple Claydon Neighbourhood Plan,,,neighbourhood-plan-area:steeple-claydon,,,,E04001531,,,,,/neighbourhood-plan-area/steeple-claydon
b963fb91d684df24a6c0f316370ef878a6fb4489765e2cda872e569b02f1e1ac,,,,,,2021-02-01,,,,Chalfont St Peter,Chalfont St Peter,,,neighbourhood-plan-area:chalfont-st-peter,,,,E04001566,,,,,/neighbourhood-plan-area/chalfont-st-peter
b963fb91d684df24a6c0f316370ef878a6fb4489765e2cda872e569b02f1e1ac,,,,,,2021-02-01,,,,Chalfont St Giles,Chalfont St Giles,,,neighbourhood-plan-area:chalfont-st-giles,,,,E04001565,,,,,/neighbourhood-plan-area/chalfont-st-giles
b963fb91d684df24a6c0f316370ef878a6fb4489765e2cda872e569b02f1e1ac,,,,,,2021-02-01,,,,Seer Green,Seer Green,,,neighbourhood-plan-area:seer-green,,,,E04001577,,,,,/neighbourhood-plan-area/seer-green
b963fb91d684df24a6c0f316370ef878a6fb4489765e2cda872e569b02f1e1ac,,,,,,2021-02-01,,,,Chesham,Chesham Neighbourhood Plan,,,neighbourhood-plan-area:chesham,,,,E04001569,,,,,/neighbourhood-plan-area/chesham
b963fb91d684df24a6c0f316370ef878a6fb4489765e2cda872e569b02f1e1ac,,,,,,2021-02-01,,,,Taplow,Taplow Neighbourhood Area;,,,neighbourhood-plan-area:taplow,,,,E04001590,,,,,/neighbourhood-plan-area/taplow
